<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20190315,000000,204.2000000,204.9500000,203.5500000,203.5500000,35811130
SBER,D,20190318,000000,204.2500000,206.1400000,204.1100000,205.9000000,40789510
SBER,D,20190319,000000,206.4000000,208.3100000,205.9300000,207.7000000,47705420
SBER,D,20190320,000000,207.5500000,209.8400000,206.4000000,209.8000000,55498860
SBER,D,20190321,000000,210.2700000,212.2900000,209.7700000,210.6100000,66856470
SBER,D,20190322,000000,210.6500000,211.2900000,206.7000000,207.7000000,49381080
SBER,D,20190325,000000,206.6600000,214.2000000,205.5500000,214.0000000,107953490
SBER,D,20190326,000000,214.7100000,218.4600000,213.1300000,218.0000000,81274550
SBER,D,20190327,000000,218.2100000,219.2500000,214.1000000,214.1000000,71870510
SBER,D,20190328,000000,214.1400000,215.9500000,213.7200000,215.0700000,47481780
SBER,D,20190329,000000,216.0000000,218.1900000,214.4000000,214.4200000,85726830
SBER,D,20190401,000000,215.0500000,218.1100000,215.0100000,217.7000000,51669790
SBER,D,20190402,000000,218.7500000,219.3200000,216.8000000,218.2300000,49132320
SBER,D,20190403,000000,220.1200000,224.1600000,218.8800000,219.0500000,91987840
SBER,D,20190404,000000,218.5000000,221.8500000,218.0100000,221.8000000,51920220
SBER,D,20190405,000000,222.3500000,227.7000000,222.0300000,227.5000000,77930270
SBER,D,20190408,000000,227.9000000,232.3000000,227.9000000,232.3000000,70830180
SBER,D,20190409,000000,233.5400000,238.9000000,232.3900000,238.0000000,117168650
SBER,D,20190410,000000,239.0000000,245.2500000,237.9400000,243.6800000,129029970
SBER,D,20190411,000000,244.4000000,247.2300000,238.8600000,238.8600000,105320630
SBER,D,20190412,000000,239.9700000,243.1500000,237.0000000,239.5000000,96065730
SBER,D,20190415,000000,240.3900000,242.3000000,237.0600000,237.8000000,47848560
SBER,D,20190416,000000,239.0000000,239.5000000,232.3200000,233.2400000,86383980
SBER,D,20190417,000000,234.5200000,235.7500000,232.0000000,234.3000000,70133760
SBER,D,20190418,000000,233.8000000,234.1100000,230.8400000,232.7900000,55682060
SBER,D,20190419,000000,233.4800000,233.5000000,231.9000000,232.6000000,12238240
SBER,D,20190422,000000,233.7000000,236.0900000,233.0500000,235.4100000,44233210
SBER,D,20190423,000000,235.9900000,237.5600000,234.1600000,235.6700000,56823030
SBER,D,20190424,000000,235.0000000,236.4700000,233.9400000,236.0000000,43602000
SBER,D,20190425,000000,235.6800000,236.0000000,227.8000000,227.8000000,100789420
SBER,D,20190426,000000,227.4700000,227.4700000,222.0800000,223.1800000,94039040
SBER,D,20190429,000000,223.7000000,229.0900000,223.0500000,228.8000000,48768500
SBER,D,20190430,000000,229.0200000,229.0200000,223.8100000,225.1700000,63392980
SBER,D,20190502,000000,226.0000000,229.8400000,225.8500000,229.1000000,36429060
SBER,D,20190503,000000,229.6900000,233.0000000,228.5500000,232.5200000,47604250
SBER,D,20190506,000000,228.7200000,232.8000000,227.0000000,232.8000000,48147810
SBER,D,20190507,000000,232.7000000,234.3400000,230.2600000,231.4900000,46470700
SBER,D,20190508,000000,231.0300000,232.5000000,229.5000000,230.0000000,42255720
SBER,D,20190510,000000,227.0000000,229.4900000,226.1100000,227.0000000,43963230
SBER,D,20190513,000000,226.6000000,228.6700000,224.1500000,224.2200000,47065110
SBER,D,20190514,000000,224.6000000,230.5500000,224.6000000,227.8800000,76555100
SBER,D,20190515,000000,228.9200000,230.9600000,224.4300000,228.6900000,61009200
SBER,D,20190516,000000,228.9800000,231.4500000,227.5900000,228.1900000,40094740
